x1	x2	y
9.5	10	0
14.25	16.55	1
10	5	1
2.30	5.25	0
3.40	3.88	0
7.66	4.46	0
6.06	4.50	0
8.29	5.31	0
1.86	2.85	0
6.05	6.08	0
3.05	5.13	0
5.24	8.50	0
4.08	2.57	0
1.79	4.20	0
8.39	5.30	0
3.86	3.97	0
3.30	3.52	0
7.08	5.85	0
3.51	5.36	0
3.41	1.45	0
7.10	5.89	0
2.77	5.10	0
5.22	6.72	0
3.61	3.35	0
3.16	3.72	0
8.19	6.13	0
5.94	2.16	0
7.29	1.08	0
5.31	6.46	0
5.09	5.28	0
5.53	5.18	0
7.00	3.99	0
5.30	3.99	0
6.98	4.37	0
0.94	4.48	0
6.15	6.37	0
3.40	6.81	0
4.42	4.75	0
2.20	5.72	0
9.30	7.14	0
3.52	3.98	0
7.05	4.40	0
4.74	4.55	0
2.93	7.18	0
5.96	5.77	0
7.09	5.08	0
5.79	2.04	0
7.36	1.83	0
5.86	5.75	0
8.20	1.26	0
5.29	3.61	0
8.01	2.66	0
2.60	5.63	0
5.48	5.79	0
5.75	7.18	0
4.66	4.41	0
0.89	3.62	0
7.13	3.53	0
2.97	6.01	0
3.63	3.04	0
6.66	5.75	0
6.15	2.60	0
9.41	6.97	0
5.73	3.73	0
7.03	7.64	0
2.82	4.38	0
6.22	5.79	0
4.95	5.79	0
2.05	3.81	0
5.32	4.21	0
8.59	5.22	0
2.81	1.76	0
7.58	6.29	0
5.65	4.26	0
2.05	7.03	0
2.25	8.19	0
1.06	4.34	0
5.78	4.72	0
16.92	13.83	1
13.76	15.66	1
17.54	19.52	1
14.73	12.89	1
16.06	14.21	1
13.30	17.35	1
14.92	12.87	1
14.79	18.09	1
15.80	14.17	1
11.61	13.78	1
15.89	11.64	1
15.26	14.41	1
17.28	16.20	1
12.20	14.81	1
17.20	15.82	1
14.01	10.63	1
17.01	15.90	1
16.38	13.48	1
11.88	15.99	1
16.54	14.40	1
17.60	13.27	1
13.74	16.11	1
15.12	15.84	1
18.30	13.06	1
10.78	18.49	1
18.43	18.82	1
14.35	17.81	1
18.42	13.89	1
11.91	13.44	1
14.48	12.37	1
14.42	16.64	1
13.71	17.23	1
15.84	12.25	1
15.88	16.46	1
16.26	18.12	1
12.52	16.86	1
15.85	13.63	1
19.38	13.80	1
18.44	16.38	1
13.22	15.21	1
13.29	14.81	1
16.72	12.07	1
11.63	12.56	1
14.47	15.49	1
15.91	15.70	1
15.78	16.28	1
15.24	19.31	1
16.32	17.65	1
12.04	16.62	1
13.89	18.67	1
16.71	16.18	1
13.59	12.12	1
13.38	16.01	1
15.69	15.92	1
15.65	12.48	1
14.40	15.54	1
12.62	17.76	1
12.24	14.07	1
15.09	15.20	1
14.05	20.80	1
13.56	14.45	1
18.70	15.10	1
15.44	13.33	1
11.86	15.62	1
15.61	14.75	1
17.92	13.96	1
15.63	12.85	1
15.64	15.57	1
14.76	11.73	1
15.01	15.67	1
16.05	14.70	1
15.65	18.23	1
18.85	17.43	1
17.25	15.21	1
