age;job;education;emp.var.rate;cons.price.idx;cons.conf.idx;euribor3m;nr.employed;y
30;blue-collar;basic.9y;-1.8;92.893;-46.2;1.313;5099.1;no
39;services;high.school;1.1;93.994;-36.4;4.855;5191;no
25;services;high.school;1.4;94.465;-41.8;4.962;5228.1;no
38;services;basic.9y;1.4;94.465;-41.8;4.959;5228.1;no
47;admin.;university.degree;-0.1;93.2;-42;4.191;5195.8;no
32;services;university.degree;-1.1;94.199;-37.5;0.884;4963.6;no
32;admin.;university.degree;-1.1;94.199;-37.5;0.879;4963.6;no
41;entrepreneur;university.degree;-0.1;93.2;-42;4.191;5195.8;no
31;services;professional.course;-0.1;93.2;-42;4.153;5195.8;no
35;blue-collar;basic.9y;1.1;93.994;-36.4;4.855;5191;no
25;services;basic.6y;1.4;93.918;-42.7;4.958;5228.1;no
36;self-employed;basic.4y;1.4;93.918;-42.7;4.968;5228.1;no
36;admin.;high.school;1.1;93.994;-36.4;4.859;5191;no
47;blue-collar;basic.4y;1.4;94.465;-41.8;4.958;5228.1;no
29;admin.;high.school;-1.8;92.893;-46.2;1.313;5099.1;no
27;services;university.degree;1.4;93.918;-42.7;4.963;5228.1;no
44;admin.;university.degree;1.4;93.918;-42.7;4.957;5228.1;no
46;admin.;university.degree;1.4;93.918;-42.7;4.962;5228.1;no
45;entrepreneur;university.degree;1.4;93.444;-36.1;4.965;5228.1;no
50;blue-collar;basic.4y;1.4;93.918;-42.7;4.961;5228.1;yes
55;services;basic.6y;1.4;93.918;-42.7;4.962;5228.1;no
39;technician;high.school;-1.8;93.369;-34.8;0.639;5008.7;yes
29;technician;university.degree;1.4;93.444;-36.1;4.967;5228.1;no
40;management;high.school;1.4;93.444;-36.1;4.965;5228.1;no
44;technician;professional.course;1.1;93.994;-36.4;4.864;5191;no
38;technician;professional.course;1.4;93.444;-36.1;4.965;5228.1;yes
36;technician;professional.course;1.1;93.994;-36.4;4.856;5191;no
28;blue-collar;basic.6y;-1.8;92.893;-46.2;1.299;5099.1;no
47;admin.;unknown;1.1;93.994;-36.4;4.86;5191;no
34;admin.;university.degree;1.4;93.444;-36.1;4.963;5228.1;no
38;technician;university.degree;-1.8;92.843;-50;1.687;5099.1;no
33;services;high.school;1.4;94.465;-41.8;4.865;5228.1;no
51;technician;university.degree;-2.9;92.963;-40.8;1.268;5076.2;no
30;blue-collar;basic.4y;1.4;94.465;-41.8;4.864;5228.1;no
48;technician;university.degree;1.4;93.444;-36.1;4.962;5228.1;no
28;blue-collar;basic.9y;1.4;94.465;-41.8;4.864;5228.1;no
36;blue-collar;basic.6y;1.1;93.994;-36.4;4.859;5191;no
46;management;high.school;-0.1;93.2;-42;4.12;5195.8;no
31;technician;unknown;-1.8;92.893;-46.2;1.334;5099.1;no
20;student;unknown;-1.1;94.601;-49.5;0.977;4963.6;no
35;services;high.school;-1.8;92.893;-46.2;1.344;5099.1;no
38;blue-collar;basic.9y;1.4;94.465;-41.8;4.967;5228.1;no
76;retired;university.degree;-1.7;94.027;-38.3;0.899;4991.6;no
45;entrepreneur;professional.course;1.4;93.918;-42.7;4.961;5228.1;no
32;housemaid;basic.4y;-1.8;92.893;-46.2;1.313;5099.1;no
39;management;university.degree;-1.8;92.893;-46.2;1.327;5099.1;no
32;admin.;university.degree;-0.1;93.2;-42;4.592;5195.8;no
29;admin.;basic.9y;-1.8;92.893;-46.2;1.299;5099.1;no
44;services;professional.course;1.4;93.444;-36.1;4.97;5228.1;no
32;services;high.school;1.4;93.918;-42.7;4.957;5228.1;no
56;retired;university.degree;-2.9;92.963;-40.8;1.26;5076.2;no
33;blue-collar;basic.9y;-1.8;92.893;-46.2;1.327;5099.1;no
39;management;high.school;1.4;93.444;-36.1;4.966;5228.1;no
24;technician;university.degree;-3.4;92.379;-29.8;0.77;5017.5;yes
33;admin.;university.degree;-1.8;92.893;-46.2;1.327;5099.1;no
58;entrepreneur;university.degree;1.4;94.465;-41.8;4.866;5228.1;no
29;admin.;university.degree;1.4;94.465;-41.8;4.959;5228.1;no
31;admin.;university.degree;1.4;93.444;-36.1;4.964;5228.1;no
27;admin.;university.degree;1.1;93.994;-36.4;4.857;5191;no
60;admin.;professional.course;-1.1;94.199;-37.5;0.886;4963.6;yes
55;entrepreneur;professional.course;-3.4;92.431;-26.9;0.739;5017.5;no
37;blue-collar;basic.9y;-1.8;92.893;-46.2;1.334;5099.1;no
52;admin.;unknown;-1.8;93.749;-34.6;0.654;5008.7;yes
46;services;high.school;-1.8;93.075;-47.1;1.405;5099.1;no
42;blue-collar;basic.6y;-1.8;92.893;-46.2;1.281;5099.1;no
35;admin.;university.degree;1.4;93.918;-42.7;4.96;5228.1;no
49;technician;unknown;-3.4;92.431;-26.9;0.754;5017.5;no
29;services;high.school;1.4;94.465;-41.8;4.865;5228.1;no
32;blue-collar;basic.9y;-0.1;93.2;-42;4.191;5195.8;yes
37;self-employed;university.degree;-1.8;92.893;-46.2;1.313;5099.1;no
39;technician;professional.course;1.4;94.465;-41.8;4.865;5228.1;yes
51;services;high.school;1.4;93.918;-42.7;4.962;5228.1;yes
28;admin.;high.school;-1.8;92.893;-46.2;1.291;5099.1;no
34;management;university.degree;-1.8;92.893;-46.2;1.281;5099.1;no
31;technician;high.school;1.4;93.444;-36.1;4.966;5228.1;yes
31;admin.;university.degree;1.4;93.444;-36.1;4.962;5228.1;no
31;admin.;university.degree;1.4;94.465;-41.8;4.864;5228.1;no
38;self-employed;university.degree;1.1;93.994;-36.4;4.855;5191;no
33;unemployed;basic.9y;1.4;94.465;-41.8;4.959;5228.1;no
32;technician;university.degree;1.4;93.444;-36.1;4.966;5228.1;no
54;technician;professional.course;-1.8;93.075;-47.1;1.405;5099.1;no
41;admin.;high.school;1.4;94.465;-41.8;4.961;5228.1;no
59;services;basic.4y;1.4;93.444;-36.1;4.963;5228.1;no
57;retired;university.degree;-1.8;93.075;-47.1;1.365;5099.1;no
38;entrepreneur;university.degree;-0.1;93.2;-42;4.076;5195.8;no
